断虹霁雨，净秋空，山染修眉新绿。  ──黄庭坚《念奴娇·断虹霁雨》
杨柳阴阴细雨晴，残花落尽见流莺。  ──武元衡《春兴》
有熊有罴，有猫有虎，庆既令居，韩姞燕誉。  ──佚名《韩奕》
三更灯火五更鸡，正是男儿读书时。  ──颜真卿《劝学诗》
染柳烟浓，吹梅笛怨，春意知几许。  ──李清照《永遇乐·落日熔金》
莫笑农家腊酒浑，丰年留客足鸡豚。  ──陆游《游山西村》
投我以桃，报之以李。  ──佚名《抑》
春风桃李花开日，秋雨梧桐叶落时。  ──白居易《长恨歌》
更把玉鞭云外指，断肠春色在江南。  ──韦庄《古离别》
意内称长短，终身荷圣情。  ──杜甫《端午日赐衣》
可怜青冢已芜没，尚有哀弦留至今。  ──王安石《明妃曲二首》
谁料同心结不成，翻就相思结。  ──夏完淳《卜算子·秋色到空闺》
云淡风轻近午天，傍花随柳过前川。  ──程颢《春日偶成·云淡风轻近午天》
莫笑农家腊酒浑，丰年留客足鸡豚。  ──陆游《游山西村》
关山万里不可越，谁能坐对芳菲月。  ──卢思道《从军行》
岁暮百草零，疾风高冈裂。  ──杜甫《自京赴奉先县咏怀五百字 / 自京赴奉先咏怀五百字》
兰叶春葳蕤，桂华秋皎洁。  ──张九龄《感遇十二首·其一》
独在异乡为异客，每逢佳节倍思亲。  ──王维《九月九日忆山东兄弟 / 九月九忆山东兄弟》
记取江湖泊船处，卧闻新雁落寒汀。  ──陆游《夜泊水村》
榴叶拥花当北户，竹根抽笋出东墙。  ──汤允绩《浣溪沙·燕垒雏空日正长》
佳节又重阳，玉枕纱厨，半夜凉初透。  ──李清照《醉花阴·薄雾浓云愁永昼》
困倚危楼。过尽飞鸿字字愁。  ──秦观《减字木兰花·天涯旧恨》
元宵佳节，融和天气，次第岂无风雨。  ──李清照《永遇乐·落日熔金》
去年相送，馀杭门外，飞雪似杨花。  ──苏轼《少年游·润州作》
春风又绿江南岸，明月何时照我还？  ──王安石《泊船瓜洲》
哀哀父母，生我劳瘁。  ──佚名《蓼莪》
西登香炉峰，南见瀑布水。  ──李白《望庐山瀑布水二首》
偶应非熊兆，尊为帝者师。  ──刘基《题太公钓渭图》
大漠沙如雪，燕山月似钩。  ──李贺《马诗二十三首·其五》
细数十年事，十处过中秋。  ──范成大《水调歌头·细数十年事》
圆荷浮小叶，细麦落轻花。  ──杜甫《为农》
豆雨声来，中间夹带风声。  ──蒋捷《声声慢·秋声》
山外青山楼外楼，西湖歌舞几时休？  ──林升《题临安邸》
